Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2013,IL,Illinois,"1,28,79,505",6555064,5958988,90.90663341,596076,9.093366594,22.92,9.05,10.9,17.18,28.72,43.46
2013,IN,Indiana,"65,69,102",3190970,2946559,92.34054222,244411,7.659457782,19.61,8.45,10.33,15.38,23.78,35.17
2013,IA,Iowa,"30,91,930",1677542,1597884,95.25150488,79658,4.74849512,19.35,8.53,10.6,15.57,23.21,34.03
2013,KS,Kansas,"28,92,821",1486920,1407991,94.69177898,78929,5.308221021,19.83,8.5,10.46,15.44,24.01,35.59
2013,KY,Kentucky,"44,00,477",2057479,1891695,91.94237219,165784,8.057627806,19,8.4,10.14,15.01,23.08,33.81
2013,LA,Louisiana,"46,26,402",2105057,1964773,93.33585741,140284,6.664142586,18.99,8.31,9.84,15.03,23.1,34.02
2013,ME,Maine,"13,29,076",707362,660430,93.36520763,46932,6.634792369,19.92,8.87,11.13,16.06,23.91,34.72
2013,MD,Maryland,"59,31,129",3127157,2920244,93.38335108,206913,6.616648924,25.41,8.82,11.97,19.57,32.3,49.68
2013,MA,Massachusetts,"67,06,786",3511115,3274879,93.27176695,236236,6.728233054,27.12,9.6,13.32,21.07,34.02,51.51
2013,MI,Michigan,"98,98,982",4727634,4310032,91.1667866,417602,8.8332134,21.42,8.68,10.89,16.67,26.88,39.36
2013,MN,Minnesota,"54,18,521",2955278,2808758,95.04209079,146520,4.957909205,22.77,8.88,11.67,17.98,28.23,42.46
2013,MS,Mississippi,"29,90,482",1269720,1160510,91.39889109,109210,8.601108906,17.34,8.19,9.34,13.57,20.7,30.37
2013,MO,Missouri,"60,42,711",3022529,2820772,93.32489448,201757,6.675105516,20.2,8.43,10.27,15.55,24.78,36.79
2013,MT,Montana,"10,14,314",512246,484477,94.57897182,27769,5.421028178,18.79,8.65,10.3,14.79,22.85,33.32
2013,NE,Nebraska,"18,68,559",1018265,979613,96.20413154,38652,3.795868463,19.33,8.53,10.6,15.31,23.24,34.47
2013,NV,Nevada,"27,86,464",1382145,1249721,90.41895025,132424,9.581049745,20.3,8.57,10.83,16.03,24.69,36.6
2013,NH,New Hampshire,"13,22,687",742027,704309,94.91689656,37718,5.083103445,22.22,8.93,11.58,17.21,26.82,40.55
2013,NJ,New Jersey,"88,99,162",4531860,4159541,91.78441082,372319,8.215589184,25.39,8.98,11.94,19.35,32.43,48.49
2013,NM,New Mexico,"20,85,193",923576,859297,93.0402046,64279,6.959795404,19.94,8.53,10.13,15.14,24.52,36.77
2013,NY,New York,"1,96,73,546",9623087,8881173,92.29027026,741914,7.709729736,26.24,8.91,11.95,19.45,32.73,50.91
2013,NC,North Carolina,"98,41,590",4681714,4307942,92.01634273,373772,7.983657267,20.39,8.44,10.33,15.46,24.02,37.17
2013,ND,North Dakota,"7,24,019",407011,395216,97.10204393,11795,2.897956075,20.39,9.01,11.85,17.14,24.81,34.73
2013,OH,Ohio,"1,15,70,022",5715263,5288325,92.52986258,426938,7.47013742,20.76,8.67,10.48,16.22,25.72,37.04
2013,OK,Oklahoma,"38,52,415",1806060,1710381,94.70233547,95679,5.297664529,19.2,8.37,9.99,14.77,22.7,34.5
2013,OR,Oregon,"39,25,751",1906990,1756495,92.10824388,150495,7.891756118,22.01,9.37,11.55,17.24,26.91,40.46
2013,PA,Pennsylvania,"1,27,81,338",6441931,5968344,92.64836894,473587,7.351631056,21.77,8.75,11.22,16.98,26.59,39.84
2013,RI,Rhode Island,"10,53,033",557117,505605,90.75382729,51512,9.246172707,23.47,8.93,11.7,18.03,29.34,43.78
2013,SC,South Carolina,"47,67,894",2194317,2026668,92.35985503,167649,7.640144975,18.75,8.29,9.69,14.56,22.56,33.99
2013,SD,South Dakota,"8,44,922",444715,427911,96.22140022,16804,3.778599777,17.56,8.6,10.47,14.14,20.37,29.47
2013,TN,Tennessee,"64,94,821",3072525,2832883,92.20048657,239642,7.79951343,19.33,8.38,10.09,14.9,22.99,34.61
2013,TX,Texas,"2,64,73,525",12872236,12070818,93.77405759,801418,6.225942408,21.35,8.37,10.09,15.81,26.01,40.57
2013,UT,Utah,"29,02,663",1408454,1343807,95.41007374,64647,4.58992626,20.55,8.64,10.82,16,25.25,37.22
2013,VT,Vermont,"6,27,140",351255,335788,95.59664631,15467,4.403353689,21.18,9.57,12.05,17.01,25.46,36.41
2013,VA,Virginia,"82,62,692",4236572,3994587,94.28818866,241985,5.711811342,24.1,8.69,11.22,17.77,29.78,48.61
2013,WA,Washington,"69,68,006",3462206,3218574,92.96309925,243632,7.036900751,25.04,9.88,12.94,19.67,31.79,46.67
2013,WV,West Virginia,"18,53,231",798177,744204,93.23796602,53973,6.762033985,18.05,8.22,9.42,13.96,22.36,32.52
2013,WI,Wisconsin,"57,42,854",3082633,2875003,93.26452419,207630,6.735475809,20.34,8.62,10.91,16.32,24.91,36.03
2013,WY,Wyoming,"5,82,684",306345,291937,95.29680589,14408,4.703194111,21.05,8.98,11.97,17.79,26.73,35.8
2013,PR,Puerto Rico,"35,93,077",1166310,999534,85.70054274,166776,14.29945726,13.13,7.82,8.43,9.51,14.84,21.95
2014,AL,Alabama,"48,43,214",2162392,2015440,93.20419239,146952,6.795807606,19.66,8.3,9.72,14.83,23.95,36.04
2014,AK,Alaska,"7,36,705",365482,340487,93.16108591,24995,6.838914092,25.98,10.36,14.43,21.73,33.14,45.57
2014,AZ,Arizona,"67,19,993",3096112,2886392,93.22634323,209720,6.773656767,21.43,8.83,10.9,16.46,26.06,40.17
2014,AR,Arkansas,"29,66,912",1303116,1223806,93.91381888,79310,6.086181123,18.24,8.23,9.49,14.01,21.66,32.55
2014,CA,California,"3,86,80,810",18755036,17348650,92.50128872,1406386,7.498711279,25.91,9.15,11.68,18.84,32.79,51.68
2014,CO,Colorado,"53,49,648",2810414,2669954,95.00215982,140460,4.997840176,23.97,9.07,11.86,18.28,29.33,45.31
2014,CT,Connecticut,"35,91,873",1883738,1759110,93.38400563,124628,6.615994369,26.47,9.45,12.89,20.67,33.16,48.08
2014,DE,Delaware,"9,34,948",453251,427348,94.28506501,25903,5.714934992,23.81,8.98,11.63,18.03,29.31,44.82
2014,FL,Florida,"1,98,88,741",9579630,8978166,93.72142765,601464,6.278572346,20.11,8.69,10.22,14.93,23.63,36.56
2014,GA,Georgia,"1,00,87,231",4757073,4418480,92.88232491,338593,7.117675091,21.48,8.4,10.22,15.79,26.12,40.57
2014,HI,Hawaii,"14,16,349",666082,636985,95.63161893,29097,4.36838107,22.23,9.03,12.19,18.01,27.37,40.44
2014,ID,Idaho,"16,33,532",780877,742992,95.14840365,37885,4.851596346,19.12,8.43,10.22,14.93,22.85,34.5
2014,IL,Illinois,"1,28,67,544",6507198,6046064,92.91347827,461134,7.086521726,23.45,9.08,11.03,17.59,29.47,44.63
2014,IN,Indiana,"65,95,233",3227208,3035184,94.04984123,192024,5.950158775,19.94,8.49,10.44,15.63,24.12,35.73
2014,IA,Iowa,"31,08,030",1703999,1631050,95.71895289,72949,4.281047113,19.77,8.62,10.86,15.91,23.74,34.78
2014,KS,Kansas,"28,99,360",1493990,1426199,95.46241943,67791,4.537580573,20.2,8.58,10.69,15.83,24.27,36.14
2014,KY,Kentucky,"44,13,057",2007192,1877815,93.55432863,129377,6.445671366,19.25,8.44,10.3,15.3,23.45,34.13
2014,LA,Louisiana,"46,47,880",2152211,2015122,93.63031785,137089,6.369682155,19.32,8.32,9.87,15.2,23.45,34.59
2014,ME,Maine,"13,30,719",696588,657353,94.36754581,39235,5.632454191,20.26,8.92,11.27,16.29,24.37,35.25
2014,MD,Maryland,"59,67,295",3125329,2943562,94.1840683,181767,5.815931699,25.7,8.86,12.09,19.63,32.58,50.43
2014,MA,Massachusetts,"67,49,911",3553751,3349160,94.24295625,204591,5.757043755,27.7,9.69,13.46,21.48,34.75,52.88
2014,MI,Michigan,"99,15,767",4754169,4408804,92.7355338,345365,7.264466198,21.7,8.68,10.88,16.7,27.13,40.24
2014,MN,Minnesota,"54,53,109",2961335,2837610,95.82198569,123725,4.178014308,23.23,8.98,11.89,18.3,28.72,43.26
2014,MS,Mississippi,"29,92,400",1246853,1152789,92.45588694,94064,7.544113059,17.67,8.22,9.41,13.76,21.16,30.91
2014,MO,Missouri,"60,60,930",3059081,2872378,93.89676181,186703,6.103238195,20.57,8.5,10.39,15.76,25.2,37.69
2014,MT,Montana,"10,22,867",513668,489681,95.33025223,23987,4.669747775,19.17,8.77,10.5,15.15,23.35,34.02
2014,NE,Nebraska,"18,81,145",1011783,978457,96.70621072,33326,3.293789281,19.75,8.61,10.77,15.66,23.79,35.2
